Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
1,Teach Elementary,4-6,San Luis Coastal Unified,185,30.8,17.3 %,99.5,2
2,Elkhorn,4-8,Lodi Unified,272,27.2,41.5 %,99.4,1
3,La Jolla Elementary,K-5,San Diego Unified,559,23.2,9.7 %,99.4,8
4,Bullis Charter,K-8,Santa Clara County Office Of Education,744,19,0.7 %,99.4,3
5,Jack L. Weaver Elementary,K-5,Los Alamitos Unified,685,26.3,4.4 %,99.3,20
6,William Faria Elementary,K-5,Cupertino Union,693,25.6,0.4 %,99.3,4
7,North Star Academy,3-8,Redwood City Elementary,523,27.5,10.1 %,99.3,6
8,Ocean Air,K-6,Del Mar Union Elementary,738,23.8,1.4 %,99.3,11
9,Valentine Elementary,K-5,San Marino Unified,561,21.5,2.5 %,99.2,23
10,Manchester Gate,2-6,Fresno Unified,752,30,55.3 %,99.2,5
11,Nelson S. Dilworth Elementary,K-5,Cupertino Union,460,21.9,2.6 %,99.2,7
12,Pacific Rim Elementary,K-5,Carlsbad Unified,799,26.6,5.1 %,99.2,16
13,Murdock-Portal Elementary,K-5,Cupertino Union,573,26,1.4 %,99.1,9
14,Herbert Hoover Elementary,K-5,Palo Alto Unified,406,20.3,6.9 %,99.1,21
15,Wonderland Avenue Elementary,K-5,Los Angeles Unified,521,26,7.7 %,99.1,30
16,J. M. Amador Elementary,K-5,Dublin Unified,741,22.4,1.1 %,99.1,
17,John Gomes Elementary,K-6,Fremont Unified,820,24.8,4.3 %,99,38
18,Wagner Ranch Elementary,K-5,Orinda Union Elementary,403,22.3,1.0 %,99,18
19,Del Mar Heights Elementary,K-6,Del Mar Union Elementary,459,21.8,3.9 %,99,59
20,Mission San Jose Elementary,K-6,Fremont Unified,622,28.2,2.6 %,99,15
21,Covington Elementary,K-6,Los Altos Elementary,559,22.3,2.3 %,99,10
22,Argonaut Elementary,K-5,Saratoga Union Elementary,391,19.5,0.8 %,99,35
23,Ethan B. Allen Elementary,K-6,Garden Grove Unified,821,28.3,31.1 %,99,36
24,Carver Elementary,K-5,San Marino Unified,586,21.7,2.6 %,99,28
25,Accelerated Achievement Academy,4-8,Hollister,139,23.1,54.0 %,98.9,140
26,Del Rey Elementary,K-5,Orinda Union Elementary,407,23.9,0.0 %,98.9,67
27,Wildwood Elementary,K-5,Piedmont City Unified,312,22.2,0.0 %,98.8,26
28,Roscomare Road Elementary,K-5,Los Angeles Unified,453,22.6,4.6 %,98.8,63
29,Millikin Elementary,K-5,Santa Clara Unified,522,29,3.6 %,98.8,25
30,Williams Elementary,K-5,San Jose Unified,693,28.8,3.9 %,98.7,46
31,Stevenson Ranch Elementary,K-6,Newhall,793,24.7,7.3 %,98.7,75
32,Golden Elementary,K-6,Placentia-Yorba Linda Unified,829,29.6,10.6 %,98.7,98
33,Springer Elementary,K-6,Los Altos Elementary,522,21.7,2.5 %,98.7,22
34,Solana Pacific Elementary,4-6,Solana Beach Elementary,576,25,4.2 %,98.7,125
35,Beach Elementary,K-5,Piedmont City Unified,335,20.9,1.8 %,98.7,232
36,Canyon Charter Elementary,K-5,Los Angeles Unified,400,23.5,4.3 %,98.7,19
37,Blue Hills Elementary,K-5,Cupertino Union,383,21.2,2.9 %,98.7,17
38,William Regnart Elementary,K-5,Cupertino Union,531,24.1,2.5 %,98.7,12
39,Tom Matsumoto Elementary,K-6,Evergreen Elementary,762,25.4,5.1 %,98.6,33
40,Silver Spur Elementary,K-5,Palos Verdes Peninsula Unified,547,26,1.8 %,98.6,13
41,Naples Elementary,K-5,Long Beach Unified,372,28.6,11.6 %,98.6,203
42,Forest Hill Elementary,K-5,Campbell Union,631,26.2,9.7 %,98.6,192
43,Palm Crest Elementary,K-6,La Canada Unified,614,21.9,2.0 %,98.5,47
44,Turtle Rock Elementary,K-6,Irvine Unified,883,29.4,12.6 %,98.5,68
