Rank (of 2021),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
1,William & Marian Ghidotti High,9-12,Nevada Joint Union High,163,32.6,19.6 %,98.7,1
2,Whitney (Gretchen) High,7-12,ABC Unified,"1,011",25.2,21.3 %,98.7,3
3,Oxford Academy,7-12,Anaheim Union High,"1,208",30.2,34.9 %,98.6,2
4,University High,9-12,Fresno Unified,482,25.3,11.4 %,98.6,54
5,Dr. Tj Owens Gilroy Early College Academy,9-12,Gilroy Unified,255,25.5,33.3 %,98.5,17
6,California Academy of Mathematics and Science,9-12,Long Beach Unified,681,29.6,42.6 %,98.4,6
7,Western Center Academy,6-12,Hemet Unified,541,27,28.3 %,98.3,16
8,The High School at Moorpark College,11-12,Moorpark Unified,82,20.5,11.0 %,98.3,195
9,Technology High,9-12,Cotati-Rohnert Park Unified,342,28.5,10.8 %,98.3,15
10,Academy of the Canyons,9-12,William S. Hart Union High,395,32.9,7.9 %,98.2,10
11,Downtown Business High,9-12,Los Angeles Unified,"1,031",23.4,80.8 %,98.2,101
12,Dougherty Valley High,9-12,San Ramon Valley Unified,"2,759",23.9,5.3 %,98,9
13,River Valley Charter,7-12,Lakeside Union Elementary,272,20.9,5.9 %,97.9,40
14,Lowell High,9-12,San Francisco Unified,"2,685",20.6,39.7 %,97.9,14
15,Monta Vista High,9-12,Fremont Union High,"2,326",25.8,2.5 %,97.8,8
16,Mission San Jose High,9-12,Fremont Unified,"2,069",24.6,4.1 %,97.8,11
17,Harbor Teacher Preparation Academy,9-12,Los Angeles Unified,451,26.5,70.3 %,97.8,21
18,Redwood Academy of Ukiah,7-12,Ukiah Unified,143,20.4,56.6 %,97.8,5
19,Mt. Everest Academy,K-12,San Diego Unified,263,18.7,24.3 %,97.7,100
20,Pacific Collegiate Charter,7-12,Santa Cruz County Office Of Education,518,18.5,7.1 %,97.7,177
21,Middle College High,9-12,Lodi Unified,246,30.7,42.7 %,97.7,42
22,Lynbrook High,9-12,Fremont Union High,"1,788",24.1,4.9 %,97.7,19
23,Grossmont Middle College High,11-12,Grossmont Union High,70,17.5,50.0 %,97.6,25
24,SOAR High (Students On Academic Rise),9-12,Antelope Valley Union High,403,31,59.3 %,97.6,13
25,Hawthorne Math and Science Academy,9-12,Hawthorne,567,25.7,78.8 %,97.6,33
26,West Campus,9-12,Sacramento City Unified,852,26.6,62.8 %,97.6,55
27,Riverside STEM Academy,5-12,Riverside Unified,577,26.2,26.7 %,97.5,
28,Stockton Unified Early College Academy,9-12,Stockton Unified,375,37.5,61.6 %,97.4,24
29,Piedmont High,9-12,Piedmont City Unified,800,18.1,1.1 %,97.3,7
30,University Preparatory,6-12,Shasta Union High,967,22.4,14.6 %,97.1,72
31,Monte Vista High,9-12,San Ramon Valley Unified,"2,348",22.7,2.3 %,97,27
32,Renaissance Arts Academy,6-12,Los Angeles Unified,357,32.4,64.7 %,97,29
33,University Preparatory,7-12,Victor Valley Union High,"1,115",28.5,68.2 %,97,38
34,Cupertino High,9-12,Fremont Union High,"2,245",25.2,8.5 %,97,34
35,Stockton Collegiate International Secondary,6-12,Stockton Unified,479,21.7,54.3 %,97,390
36,Ocsa,7-12,Santa Ana Unified,"2,096",29.5,11.1 %,96.9,44
37,Anderson W. Clark Magnet High,9-12,Glendale Unified,"1,103",29.8,53.3 %,96.9,46
38,Granite Bay High,9-12,Roseville Joint Union High,"2,043",24.3,8.0 %,96.8,232
39,Mills High,9-12,San Mateo Union High,"1,198",21,14.3 %,96.8,53
40,Del Norte High,9-12,Poway Unified,"2,032",28.2,10.7 %,96.7,113
41,Preuss School UCSD,6-12,San Diego Unified,840,21,97.1 %,96.7,204
