,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017)
1,San Marino Unified,95.9,95.9,99.1,96.96666666666665,98.9
2,La Canada Unified,95.9,95.9,98.2,96.66666666666667,98.3
5,Manhattan Beach Unified,94.9,94.9,97.04,95.61333333333334,96.8
7,Albany City Unified,94.8,94.8,94.36666666666667,94.65555555555557,94.4
9,South Pasadena Unified,93.5,93.5,96.33333333333333,94.44444444444444,96.2
4,Palo Alto Unified,95.0,95.0,93.29166666666664,94.43055555555554,94.5
12,Laguna Beach Unified,93.1,93.1,96.05000000000001,94.08333333333333,95.4
8,Carmel Unified,94.2,94.2,93.6,94.0,94.4
10,Los Alamitos Unified,93.2,93.2,95.58333333333333,93.99444444444445,95.3
6,Beverly Hills Unified,94.9,94.9,90.125,93.30833333333334,90.3
15,Arcadia Unified,92.0,92.0,95.33333333333333,93.1111111111111,95.2
11,Walnut Valley Unified,93.19999999999999,93.19999999999999,92.19999999999999,92.86666666666666,92.4
21,Piedmont City Unified,86.94999999999999,86.94999999999999,98.26666666666667,90.72222222222221,95.0
17,Coronado Unified,91.0,91.0,86.65,89.55,89.6
19,Scotts Valley Unified,88.5,88.5,90.85,89.28333333333335,90.3
16,Pacific Grove Unified,91.9,91.9,82.3,88.7,87.3
41,Irvine Unified,77.82,94.1,91.32083333333333,87.74694444444442,90.6
57,Pleasanton Unified,72.03333333333335,96.4,94.52222222222221,87.65185185185184,90.7
36,Poway Unified,79.31666666666666,91.24,89.57692307692308,86.71119658119659,88.0
24,Las Virgenes Unified,85.1,85.1,88.21111111111111,86.13703703703703,87.6
14,Saint Helena Unified,92.1,92.1,71.5,85.23333333333333,81.2
33,San Ramon Valley Unified,80.68333333333332,80.68333333333332,94.29523809523808,85.22063492063491,92.2
79,Palos Verdes Peninsula Unified,66.4,92.9,94.38,84.56,89.1
88,Oak Park Unified,65.0,89.6,95.53333333333335,83.37777777777778,82.1
65,Carlsbad Unified,70.80000000000001,88.40000000000002,90.89999999999999,83.36666666666667,85.3
51,Davis Joint Unified,73.35,91.93333333333332,82.9,82.72777777777777,82.3
25,Lammersville Joint Unified,84.6,84.6,77.96000000000001,82.38666666666667,82.3
3,Scott Valley Unified,95.2,95.2,56.75,82.38333333333334,69.9
46,Fremont Unified,75.35714285714286,85.16666666666666,85.55357142857144,82.02579365079366,84.6
26,Loomis Union Elementary,83.4,83.4,75.41250000000001,80.73750000000001,81.4
23,Twin Hills Union Elementary,85.6,85.6,70.60000000000001,80.60000000000001,81.1
