,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017),Differences
1,San Marino Unified,95.9,95.9,99.1,96.96666667,98.9,-1.933333333
2,La Canada Unified,95.9,95.9,98.2,96.66666667,98.3,-1.633333333
5,Manhattan Beach Unified,94.9,94.9,97.04,95.61333333,96.8,-1.186666667
7,Albany City Unified,94.8,94.8,94.36666667,94.65555556,94.4,0.255555556
9,South Pasadena Unified,93.5,93.5,96.33333333,94.44444444,96.2,-1.755555556
4,Palo Alto Unified,95,95,93.29166667,94.43055556,94.5,-0.069444444
12,Laguna Beach Unified,93.1,93.1,96.05,94.08333333,95.4,-1.316666667
8,Carmel Unified,94.2,94.2,93.6,94,94.4,-0.4
10,Los Alamitos Unified,93.2,93.2,95.58333333,93.99444444,95.3,-1.305555556
6,Beverly Hills Unified,94.9,94.9,90.125,93.30833333,90.3,3.008333333
15,Arcadia Unified,92,92,95.33333333,93.11111111,95.2,-2.088888889
11,Walnut Valley Unified,93.2,93.2,92.2,92.86666667,92.4,0.466666667
21,Piedmont City Unified,86.95,86.95,98.26666667,90.72222222,95,-4.277777778
17,Coronado Unified,91,91,86.65,89.55,89.6,-0.05
19,Scotts Valley Unified,88.5,88.5,90.85,89.28333333,90.3,-1.016666667
16,Pacific Grove Unified,91.9,91.9,82.3,88.7,87.3,1.4
41,Irvine Unified,77.82,94.1,91.32083333,87.74694444,90.6,-2.853055556
57,Pleasanton Unified,72.03333333,96.4,94.52222222,87.65185185,90.7,-3.048148148
36,Poway Unified,79.31666667,91.24,89.57692308,86.71119658,88,-1.288803419
24,Las Virgenes Unified,85.1,85.1,88.21111111,86.13703704,87.6,-1.462962963
14,Saint Helena Unified,92.1,92.1,71.5,85.23333333,81.2,4.033333333
33,San Ramon Valley Unified,80.68333333,80.68333333,94.2952381,85.22063492,92.2,-6.979365079
79,Palos Verdes Peninsula Unified,66.4,92.9,94.38,84.56,89.1,-4.54
88,Oak Park Unified,65,89.6,95.53333333,83.37777778,82.1,1.277777778
65,Carlsbad Unified,70.8,88.4,90.9,83.36666667,85.3,-1.933333333
51,Davis Joint Unified,73.35,91.93333333,82.9,82.72777778,82.3,0.427777778
25,Lammersville Joint Unified,84.6,84.6,77.96,82.38666667,82.3,0.086666667
3,Scott Valley Unified,95.2,95.2,56.75,82.38333333,69.9,12.48333333
46,Fremont Unified,75.35714286,85.16666667,85.55357143,82.02579365,84.6,-2.574206349
26,Loomis Union Elementary,83.4,83.4,75.4125,80.7375,81.4,-0.6625
23,Twin Hills Union Elementary,85.6,85.6,70.6,80.6,81.1,-0.5
32,Wiseburn Unified,81.3,81.3,76.86666667,79.82222222,82,-2.177777778
94,Santa Monica-Malibu Unified,63.2,90.35,85.42727273,79.65909091,82.4,-2.740909091
55,Torrance Unified,72.26,86.85,79.59411765,79.56803922,79.6,-0.031960784
68,Rocklin Unified,69.74,84.3,83.95,79.33,81.5,-2.17
47,Placentia-Yorba Linda Unified,75.01428571,84.98333333,77.67727273,79.22496392,79,0.224963925
13,Mendocino Unified,92.8,92.8,51.4,79,,79
127,Temple City Unified,57.15,92.6,87.2,78.98333333,78.2,0.783333333
64,Conejo Valley Unified,70.85,91.13333333,74.58235294,78.85522876,76.6,2.255228758
133,Dublin Unified,56.25,88.8,91.31428571,78.78809524,83.4,-4.611904762
38,Saddleback Valley Unified,78.15,90.04,66.17727273,78.12242424,71.8,6.322424242
0,Hawthorne,97.6,97.6,38.5,77.9,47.4,30.5
53,Clovis Unified,72.8375,81.04285714,79.303125,77.72782738,77.6,0.127827381
91,San Luis Coastal Unified,64.03333333,85.55,82.8,77.46111111,80.5,-3.038888889
18,Orcutt Union Elementary,89.3,89.3,52.38571429,76.9952381,59.3,17.6952381
34,Golden Valley Unified,80.5,80.5,68.55,76.51666667,74.1,2.416666667
74,El Segundo Unified,69.25,69.25,89.4,75.96666667,81.3,-5.333333333
187,Redondo Beach Unified,50.3,84.8,92.5625,75.8875,85,-9.1125
95,Bonita Unified,63.16666667,88.65,75.6375,75.81805556,74.8,1.018055556
50,Capistrano Unified,73.67,80.32222222,73.43076923,75.80766382,77.8,-1.992336182
60,Redlands Unified,71.58,85.2,69.75,75.51,71.2,4.31
73,Temecula Valley Unified,69.33333333,80.02,76.61052632,75.32128655,77,-1.67871345
174,Castro Valley Unified,51.45,86.9,86.05555556,74.80185185,81,-6.198148148
35,Bonsall Unified,79.8,79.8,64.63333333,74.74444444,70.6,4.144444444
166,Milpitas Unified,52.3,91.3,78.82222222,74.14074074,77.4,-3.259259259
161,Glendora Unified,52.9,90.9,78.14,73.98,75.2,-1.22
45,Carpinteria Unified,75.6,75.6,69.875,73.69166667,70,3.691666667
78,Tustin Unified,67.175,85.73333333,68.01052632,73.63961988,68.7,4.939619883
104,Alhambra Unified,61.7,87.93333333,70.53076923,73.38803419,73.2,0.188034188
99,Claremont Unified,62.05,88.4,69.2,73.21666667,70.5,2.716666667
102,Alameda Unified,61.83333333,82.025,74.35454545,72.73762626,73.3,-0.562373737
27,Gridley Unified,83.3,83.3,50.4,72.33333333,58.4,13.93333333
177,Benicia Unified,51.3,86.8,77.7,71.93333333,70.4,1.533333333
83,Murrieta Valley Unified,65.875,78.56666667,71.33636364,71.9260101,72.1,-0.173989899
84,Glendale Unified,65.7,76.54,73,71.74666667,72.4,-0.653333333
172,Moorpark Unified,51.95,84.5,78.75,71.73333333,69.9,1.833333333
49,Live Oak Elementary,73.8,73.8,67.325,71.64166667,69.7,1.941666667
112,ABC Unified,60.46666667,86.075,67.18947368,71.24371345,69.2,2.04371345
211,Brea-Olinda Unified,48.05,81.3,83.55,70.96666667,76.7,-5.733333333
56,Chula Vista Elementary,72.1,72.1,67.6,70.6,70.5,0.1
29,Cotati-Rohnert Park Unified,82.53333333,82.53333333,46.21666667,70.42777778,56.1,14.32777778
28,Lennox,82.95,82.95,45,70.3,48.6,21.7
