Rank (of 2021),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016),Rank Change From 2016
1,William & Marian Ghidotti High,9-12,Nevada Joint Union High,163,32.6,19.6 %,98.7,1,
2,Whitney (Gretchen) High,7-12,ABC Unified,"1,011",25.2,21.3 %,98.7,3,1
3,Oxford Academy,7-12,Anaheim Union High,"1,208",30.2,34.9 %,98.6,2,1
4,University High,9-12,Fresno Unified,482,25.3,11.4 %,98.6,54,50
5,Dr. Tj Owens Gilroy Early College Academy,9-12,Gilroy Unified,255,25.5,33.3 %,98.5,17,12
6,California Academy of Mathematics and Science,9-12,Long Beach Unified,681,29.6,42.6 %,98.4,6,
7,Western Center Academy,6-12,Hemet Unified,541,27,28.3 %,98.3,16,9
8,The High School at Moorpark College,11-12,Moorpark Unified,82,20.5,11.0 %,98.3,195,187
9,Technology High,9-12,Cotati-Rohnert Park Unified,342,28.5,10.8 %,98.3,15,6
10,Academy of the Canyons,9-12,William S. Hart Union High,395,32.9,7.9 %,98.2,10,
11,Downtown Business High,9-12,Los Angeles Unified,"1,031",23.4,80.8 %,98.2,101,90
12,Dougherty Valley High,9-12,San Ramon Valley Unified,"2,759",23.9,5.3 %,98,9,3
13,River Valley Charter,7-12,Lakeside Union Elementary,272,20.9,5.9 %,97.9,40,27
14,Lowell High,9-12,San Francisco Unified,"2,685",20.6,39.7 %,97.9,14,
15,Monta Vista High,9-12,Fremont Union High,"2,326",25.8,2.5 %,97.8,8,7
16,Mission San Jose High,9-12,Fremont Unified,"2,069",24.6,4.1 %,97.8,11,5
17,Harbor Teacher Preparation Academy,9-12,Los Angeles Unified,451,26.5,70.3 %,97.8,21,4
18,Redwood Academy of Ukiah,7-12,Ukiah Unified,143,20.4,56.6 %,97.8,5,13
19,Mt. Everest Academy,K-12,San Diego Unified,263,18.7,24.3 %,97.7,100,81
20,Pacific Collegiate Charter,7-12,Santa Cruz County Office Of Education,518,18.5,7.1 %,97.7,177,157
21,Middle College High,9-12,Lodi Unified,246,30.7,42.7 %,97.7,42,21
22,Lynbrook High,9-12,Fremont Union High,"1,788",24.1,4.9 %,97.7,19,3
23,Grossmont Middle College High,11-12,Grossmont Union High,70,17.5,50.0 %,97.6,25,2
24,SOAR High (Students On Academic Rise),9-12,Antelope Valley Union High,403,31,59.3 %,97.6,13,11
25,Hawthorne Math and Science Academy,9-12,Hawthorne,567,25.7,78.8 %,97.6,33,8
26,West Campus,9-12,Sacramento City Unified,852,26.6,62.8 %,97.6,55,29
27,Riverside STEM Academy,5-12,Riverside Unified,577,26.2,26.7 %,97.5,,(n/a)
28,Stockton Unified Early College Academy,9-12,Stockton Unified,375,37.5,61.6 %,97.4,24,4
29,Piedmont High,9-12,Piedmont City Unified,800,18.1,1.1 %,97.3,7,22
30,University Preparatory,6-12,Shasta Union High,967,22.4,14.6 %,97.1,72,42
31,Monte Vista High,9-12,San Ramon Valley Unified,"2,348",22.7,2.3 %,97,27,4
32,Renaissance Arts Academy,6-12,Los Angeles Unified,357,32.4,64.7 %,97,29,3
33,University Preparatory,7-12,Victor Valley Union High,"1,115",28.5,68.2 %,97,38,5
34,Cupertino High,9-12,Fremont Union High,"2,245",25.2,8.5 %,97,34,
35,Stockton Collegiate International Secondary,6-12,Stockton Unified,479,21.7,54.3 %,97,390,355
36,Ocsa,7-12,Santa Ana Unified,"2,096",29.5,11.1 %,96.9,44,8
37,Anderson W. Clark Magnet High,9-12,Glendale Unified,"1,103",29.8,53.3 %,96.9,46,9
38,Granite Bay High,9-12,Roseville Joint Union High,"2,043",24.3,8.0 %,96.8,232,194
39,Mills High,9-12,San Mateo Union High,"1,198",21,14.3 %,96.8,53,14
40,Del Norte High,9-12,Poway Unified,"2,032",28.2,10.7 %,96.7,113,73
41,Preuss School UCSD,6-12,San Diego Unified,840,21,97.1 %,96.7,204,163
42,Alameda Science and Technology Institute,9-12,Alameda Unified,175,29.1,30.3 %,96.7,12,30
43,Amador Valley High,9-12,Pleasanton Unified,"2,628",24.7,6.0 %,96.6,28,15
44,Campolindo High,9-12,Acalanes Union High,"1,300",20.9,2.1 %,96.6,43,1
45,Acalanes High,9-12,Acalanes Union High,"1,423",20.6,3.2 %,96.6,26,19
46,Northwood High,9-12,Irvine Unified,"2,240",27.6,7.8 %,96.6,35,11
47,Cerritos High,9-12,ABC Unified,"2,132",24.5,29.3 %,96.6,66,19
48,Middle College High,9-12,West Contra Costa Unified,278,27.8,46.4 %,96.5,78,30
49,Middle College High,9-12,San Bernardino City Unified,275,27.5,82.2 %,96.5,83,34
50,Clovis North High,9-12,Clovis Unified,"2,459",23.6,21.3 %,96.5,109,59
51,Miramonte High,9-12,Acalanes Union High,"1,232",20.5,1.1 %,96.4,37,14
52,Foothill High,9-12,Pleasanton Unified,"2,085",23.6,5.0 %,96.2,48,4
53,Troy High,9-12,Fullerton Joint Union High,"2,755",27.2,21.3 %,96.2,39,14
54,Canyon Crest Academy,9-12,San Dieguito Union High,"2,255",25.6,2.9 %,95.9,22,32
55,La Canada High,7-12,La Canada Unified,"2,075",24.7,1.5 %,95.9,23,32
56,San Marino High,9-12,San Marino Unified,"1,200",21,3.7 %,95.9,81,25
57,Saratoga High,9-12,Los Gatos-Saratoga Joint Union High,"1,324",18.6,0.7 %,95.9,36,21
58,Corona del Mar High,7-12,Newport-Mesa Unified,"2,580",28,6.5 %,95.9,199,141
59,West Ranch High,9-12,William S. Hart Union High,"2,455",27.2,8.4 %,95.9,84,25
60,Fall River Junior-Senior High,7-12,Fall River Joint Unified,241,16,49.0 %,95.7,93,33
61,Folsom High,9-12,Folsom-Cordova Unified,"2,300",25.5,13.7 %,95.7,89,28
62,Palos Verdes Peninsula High,9-12,Palos Verdes Peninsula Unified,"2,519",25.9,3.8 %,95.7,75,13
63,California High,9-12,San Ramon Valley Unified,"2,667",24,4.9 %,95.6,50,13
64,Oak Park High,9-12,Oak Park Unified,"1,542",23.7,5.1 %,95.6,143,79
65,Academy of the Redwoods,9-12,Fortuna Union High,178,44.5,44.9 %,95.6,104,39
66,Irvington High,9-12,Fremont Unified,"2,253",24.7,16.0 %,95.4,80,14
67,High Technical La,9-12,Los Angeles Unified,390,24.3,44.6 %,95.3,379,312
68,Burlingame High,9-12,San Mateo Union High,"1,339",19.9,6.1 %,95.3,69,1
69,John F. Kennedy High,10-12,Corona-Norco Unified,641,29.1,36.0 %,95.3,132,63
70,Asawa (Ruth) Sf School Of The Arts A Public School,9-12,San Francisco Unified,614,20.4,20.9 %,95.3,86,16
71,Palo Alto High,9-12,Palo Alto Unified,"1,994",18.8,6.8 %,95.2,30,41
72,Guajome Park Academy Charter,K-12,Vista Unified,"1,342",22.3,49.0 %,95.2,91,19
73,Rocklin High,9-12,Rocklin Unified,"1,947",24.6,13.6 %,95.2,65,8
74,Etna Union High,9-12,Scott Valley Unified,182,14,48.9 %,95.2,118,44
75,Scripps Ranch High,9-12,San Diego Unified,"2,221",25.8,18.9 %,95.1,52,23
76,San Dieguito High Academy,9-12,San Dieguito Union High,"1,828",24.3,10.7 %,95,64,12
77,Mountain View High,9-12,Mountain View-Los Altos Union High,"1,871",20.1,14.5 %,95,144,67
78,Carlmont High,9-12,Sequoia Union High,"2,147",21.6,10.7 %,95,190,112
79,Leland High,9-12,San Jose Unified,"1,807",24.4,10.3 %,95,68,11
80,Reedley Middle College High,9-12,Kings Canyon Joint Unified,126,63,85.7 %,95,586,506
81,Evergreen Valley High,9-12,East Side Union High,"2,809",25.5,17.0 %,95,95,14
82,Beverly Hills High,9-12,Beverly Hills Unified,"1,589",17,8.9 %,94.9,59,23
83,Da Vinci Science,9-12,Wiseburn Unified,517,19.1,44.5 %,94.9,,(n/a)
84,Mira Costa High,9-12,Manhattan Beach Unified,"2,437",22.9,5.5 %,94.9,110,26
85,Fountain Valley High,9-12,Huntington Beach Union High,"3,558",29.1,26.7 %,94.9,76,9
86,Buchanan High,9-12,Clovis Unified,"2,709",24.1,29.1 %,94.8,115,29
87,Academy for Academic Excellence,K-12,Apple Valley Unified,"1,412",22,27.8 %,94.8,189,102
88,Henry M. Gunn High,9-12,Palo Alto Unified,"1,939",19.3,5.9 %,94.8,18,70
89,Albany High,9-12,Albany City Unified,"1,210",19.2,17.0 %,94.8,56,33
90,Davis Senior High,10-12,Davis Joint Unified,"1,683",24.7,14.8 %,94.8,51,39
91,Arnold O. Beckman High,9-12,Tustin Unified,"2,847",27.3,23.5 %,94.7,92,1
92,University High,9-12,Irvine Unified,"2,617",26.9,16.9 %,94.7,90,2
93,Huntington Beach High,9-12,Huntington Beach Union High,"2,954",28.1,13.6 %,94.6,119,26
94,Early College High,9-12,Newport-Mesa Unified,260,26,70.0 %,94.6,239,145
95,Piedmont Hills High,9-12,East Side Union High,"2,178",24.7,27.9 %,94.6,172,77
96,American High,9-12,Fremont Unified,"2,093",24.6,21.8 %,94.6,183,87
97,Homestead High,9-12,Fremont Union High,"2,368",24.6,14.7 %,94.5,61,36
98,Harmony Magnet Academy,9-12,Porterville Unified,516,23.4,58.1 %,94.5,60,38
99,West High,9-12,Torrance Unified,"2,078",24.1,22.0 %,94.5,146,47
100,Vista del Lago High,9-12,Folsom-Cordova Unified,"1,626",25,7.1 %,94.4,62,38
101,Oak Ridge High,9-12,El Dorado Union High,"2,400",25,5.6 %,94.4,57,44
102,Albert Einstein Academy For Letters Arts And Sciences,7-12,William S. Hart Union High,449,21.3,6.2 %,94.3,32,70
103,Mission Vista High,9-12,Vista Unified,"1,566",21.1,23.7 %,94.2,134,31
104,La Quinta High,9-12,Garden Grove Unified,"2,137",26.3,60.6 %,94.2,94,10
105,Carmel High,9-12,Carmel Unified,857,17.4,12.1 %,94.2,45,60
106,Del Oro High,9-12,Placer Union High,"1,715",25.5,13.2 %,94.1,97,9
107,Aragon High,9-12,San Mateo Union High,"1,473",21.3,13.4 %,94,153,46
108,Leigh High,9-12,Campbell Union High,"1,654",22.6,5.3 %,94,125,17
109,Los Altos High,9-12,Mountain View-Los Altos Union High,"2,044",20.8,15.2 %,94,180,71
110,Crescenta Valley High,9-12,Glendale Unified,"2,670",29.3,16.2 %,94,162,52
111,Yorba Linda High,9-12,Placentia-Yorba Linda Unified,"1,791",27.5,10.6 %,93.9,128,17
112,Sage Creek High,9-12,Carlsbad Unified,"1,000",25.6,14.5 %,93.9,67,45
113,Foothill Technology High,9-12,Ventura Unified,"1,023",27.6,22.1 %,93.8,193,80
114,El Segundo High,9-12,El Segundo Unified,"1,255",24.1,11.8 %,93.8,211,97
115,New West Charter,6-12,State Board Of Education - New West Charter,823,20.5,24.8 %,93.7,135,20
116,Westview High,9-12,Poway Unified,"2,304",27.7,12.3 %,93.7,117,1
117,South Pasadena Senior High,9-12,South Pasadena Unified,"1,528",22.4,15.5 %,93.5,105,12
118,Woodbridge High,9-12,Irvine Unified,"2,447",26.3,17.9 %,93.5,73,45
119,University Preparatory Academy Charter,7-12,Santa Clara County Office Of Education,593,21.9,11.1 %,93.4,137,18
120,Saugus High,9-12,William S. Hart Union High,"2,330",25.3,11.4 %,93.3,185,65
121,Los Gatos High,9-12,Los Gatos-Saratoga Joint Union High,"1,977",22.4,2.6 %,93.3,47,74
122,Walnut High,9-12,Walnut Valley Unified,"2,675",24.3,15.9 %,93.3,74,48
123,Leadership Public Schools - Hayward,9-12,Hayward Unified,533,22.2,60.0 %,93.3,328,205
124,Los Alamitos High,9-12,Los Alamitos Unified,"3,336",28.2,12.1 %,93.2,161,37
125,Redwood High,9-12,Tamalpais Union High,"1,770",19.4,4.4 %,93.2,98,27
126,Diamond Bar High,9-12,Walnut Valley Unified,"3,061",27,10.3 %,93.1,171,45
127,Laguna Beach High,9-12,Laguna Beach Unified,"1,103",21.6,7.4 %,93.1,116,11
128,University City High,9-12,San Diego Unified,"1,813",27.8,40.0 %,93.1,145,17
129,Sunny Hills High,9-12,Fullerton Joint Union High,"2,307",29.5,27.4 %,93,176,47
130,Ponderosa High,9-12,El Dorado Union High,"1,778",24.6,14.3 %,93,120,10
131,Mark Keppel High,9-12,Alhambra Unified,"2,298",28,57.5 %,92.9,220,89
132,Rancho Campana High,9-12,Oxnard Union High,345,86.2,8.4 %,92.9,,(n/a)
133,Middle College High,9-12,Santa Ana Unified,336,25.8,95.5 %,92.9,149,16
134,Esperanza High,9-12,Placentia-Yorba Linda Unified,"1,732",23.7,19.7 %,92.8,214,80
135,Mendocino High,9-12,Mendocino Unified,192,12.8,24.0 %,92.8,392,257
136,Credo High,9-12,Cotati-Rohnert Park Unified,175,21.8,33.1 %,92.8,1226,1090
137,Santa Susana High,9-12,Simi Valley Unified,"1,271",25.9,17.2 %,92.8,71,66
138,International Polytechnic High,9-12,Los Angeles County Office Of Education,558,26.5,26.7 %,92.7,31,107
139,Northgate High,9-12,Mt. Diablo Unified,"1,599",23.8,9.2 %,92.7,136,3
140,Temple City High,9-12,Temple City Unified,"2,076",24.7,37.0 %,92.6,129,11
141,Oakland Charter High,9-12,Oakland Unified,403,18.3,83.1 %,92.5,41,100
142,Mira Mesa High,9-12,San Diego Unified,"2,426",23.7,45.1 %,92.4,192,50
143,Rancho Bernardo High,9-12,Poway Unified,"2,265",27.6,12.5 %,92.3,103,40
144,Thousand Oaks High,9-12,Conejo Valley Unified,"2,296",26.3,19.8 %,92.3,133,11
145,Tesoro High,9-12,Capistrano Unified,"2,451",27.8,6.9 %,92.3,79,66
146,Design Science Early College High,9-12,Fresno Unified,232,29,74.1 %,92.2,58,88
147,Edison High,9-12,Huntington Beach Union High,"2,528",23.8,12.8 %,92.2,85,62
148,Saint Helena High,9-12,Saint Helena Unified,475,14.3,31.4 %,92.1,166,18
149,Bonita High,9-12,Bonita Unified,"1,993",26.9,28.4 %,92,111,38
150,Aliso Niguel High,9-12,Capistrano Unified,"3,068",28.6,11.7 %,92,123,27
151,Oceana High,9-12,Jefferson Union High,622,20,33.8 %,92,229,78
152,Summit Public School: Shasta,9-12,Jefferson Union High,325,21.6,32.0 %,92,88,64
153,Arcadia High,9-12,Arcadia Unified,"3,424",24.8,23.0 %,92,107,46
154,Westlake High,9-12,Conejo Valley Unified,"2,370",27.5,15.2 %,92,114,40
155,Franklin High,9-12,Elk Grove Unified,"2,673",23,36.6 %,91.9,165,10
156,Great Oak High,9-12,Temecula Valley Unified,"3,473",26.9,13.5 %,91.9,142,14
157,Pacific Grove High,9-12,Pacific Grove Unified,609,26.4,17.2 %,91.9,102,55
158,Alliance Dr. Olga Mohan High,9-12,Los Angeles Unified,451,17.3,96.0 %,91.8,263,105
159,Natomas Pacific Pathways Prep,9-12,Natomas Unified,597,19.2,40.4 %,91.7,244,85
160,Irvine High,9-12,Irvine Unified,"2,031",27,22.7 %,91.6,108,52
161,Henry High,9-12,San Diego Unified,"2,384",24.3,40.3 %,91.5,221,60
162,Tamalpais High,9-12,Tamalpais Union High,"1,419",20.8,8.6 %,91.4,251,89
163,Aspire Benjamin Holt College Preparatory Academy,9-12,Lodi Unified,730,31.7,34.1 %,91.4,168,5
164,Santa Monica High,9-12,Santa Monica-Malibu Unified,"2,950",23,28.7 %,91.4,330,166
165,Trabuco Hills High,9-12,Saddleback Valley Unified,"2,912",26,14.1 %,91.3,179,14
166,Mira Monte High (Alternative),9-12,Saddleback Valley Unified,52,52,11.5 %,91.3,990,824
167,El Toro High,9-12,Saddleback Valley Unified,"2,518",24.9,23.5 %,91.3,286,119
168,Milpitas High,9-12,Milpitas Unified,"3,134",25.6,31.6 %,91.3,167,1
169,Whitney High,9-12,Rocklin Unified,"1,913",23.9,18.2 %,91.3,130,39
170,Valencia High,9-12,William S. Hart Union High,"3,103",25.6,6.8 %,91.2,154,16
171,Mt. Carmel High,9-12,Poway Unified,"1,960",27.2,20.6 %,91.2,131,40
172,Woodcreek High,9-12,Roseville Joint Union High,"2,221",23.8,17.5 %,91,87,85
173,Lighthouse Community Charter High,9-12,Oakland Unified,260,21.6,80.4 %,91,317,144
174,Coronado High,9-12,Coronado Unified,"1,231",21.5,4.8 %,91,200,26
175,Glendora High,9-12,Glendora Unified,"2,528",25.7,21.1 %,90.9,181,6
176,Foothill High,9-12,Tustin Unified,"2,510",26.4,27.4 %,90.9,209,33
177,Da Vinci Charter Academy,7-12,Davis Joint Unified,583,23.3,8.2 %,90.9,96,81
178,Western Sierra Collegiate Academy,7-12,Rocklin Unified,742,20,10.4 %,90.8,,(n/a)
179,Animo Inglewood Charter High,9-12,Inglewood Unified,642,22.1,91.3 %,90.6,230,51
180,Cypress High,9-12,Anaheim Union High,"2,749",29.2,30.6 %,90.6,262,82
181,San Juan Hills High,9-12,Capistrano Unified,"2,392",26.8,25.2 %,90.5,208,27
182,Sherman Oaks Center for Enriched Studies,4-12,Los Angeles Unified,"2,089",31.6,53.1 %,90.5,178,4
183,San Lorenzo Valley High,9-12,San Lorenzo Valley Unified,702,23.4,14.1 %,90.4,334,151
184,Pacifica High,9-12,Garden Grove Unified,"1,711",23.7,34.1 %,90.4,285,101
185,Valley Alternative Magnet,K-12,Los Angeles Unified,619,23.8,68.5 %,90.3,155,30
186,La Costa Canyon High,9-12,San Dieguito Union High,"1,894",24.9,7.9 %,90.3,237,51
187,Pleasant Grove High,9-12,Elk Grove Unified,"2,547",21.9,28.8 %,90.2,139,48
188,Davis School for Independent Study,K-12,Davis Joint Unified,119,14.8,18.5 %,90.1,490,302
189,Palos Verdes High,9-12,Palos Verdes Peninsula Unified,"1,716",23.8,2.2 %,90.1,290,101
190,Colfax High,9-12,Placer Union High,606,23.3,31.5 %,90,217,27
191,KIPP San Jose Collegiate,9-12,East Side Union High,484,24.2,78.1 %,90,326,135
192,Redlands Senior High,9-12,Redlands Unified,"2,351",24.4,51.4 %,90,279,87
193,Alameda High,9-12,Alameda Unified,"1,718",22,18.2 %,89.9,174,19
194,Granada Hills Charter High,9-12,Los Angeles Unified,"4,480",27.1,53.0 %,89.9,147,47
195,Branham High,9-12,Campbell Union High,"1,514",23.6,11.8 %,89.9,164,31
196,Washington High,9-12,Fremont Unified,"1,822",23.6,29.2 %,89.9,231,35
197,San Gabriel High,9-12,Alhambra Unified,"2,253",27.8,78.3 %,89.8,398,201
198,Clayton Valley Charter High,9-12,Contra Costa County Office Of Education,"1,984",25.7,17.8 %,89.8,224,26
199,KIPP King Collegiate High,9-12,San Lorenzo Unified,559,25.4,68.7 %,89.7,310,111
200,Clovis West High,9-12,Clovis Unified,"2,095",21.5,42.4 %,89.7,305,105
201,Del Lago Academy - Campus of Applied Science,9-12,Escondido Union High,682,24.3,53.5 %,89.7,240,39
202,El Camino High,9-12,Ventura Unified,290,72.5,22.1 %,89.6,248,46
203,San Luis Obispo High,9-12,San Luis Coastal Unified,"1,395",21.4,27.0 %,89.6,205,2
204,Clovis High,9-12,Clovis Unified,"2,939",21.9,47.3 %,89.6,356,152
205,Valley View Charter Prep,K-12,New Jerusalem Elementary,360,27.6,27.2 %,89.6,,(n/a)
