Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
1,Teach Elementary,4-6,San Luis Coastal Unified,185,17.3,99.5,30.8
2,Elkhorn,4-8,Lodi Unified,272,41.5,99.4,27.2
3,La Jolla Elementary,K-5,San Diego Unified,559,9.7,99.4,23.2
4,Bullis Charter,K-8,Santa Clara County Office Of Education,744,0.7,99.4,19
5,Jack L. Weaver Elementary,K-5,Los Alamitos Unified,685,4.4,99.3,26.3
6,William Faria Elementary,K-5,Cupertino Union,693,0.4,99.3,25.6
7,North Star Academy,3-8,Redwood City Elementary,523,10.1,99.3,27.5
8,Ocean Air,K-6,Del Mar Union Elementary,738,1.4,99.3,23.8
9,Valentine Elementary,K-5,San Marino Unified,561,2.5,99.2,21.5
10,Manchester Gate,2-6,Fresno Unified,752,55.3,99.2,30
11,Nelson S. Dilworth Elementary,K-5,Cupertino Union,460,2.6,99.2,21.9
12,Pacific Rim Elementary,K-5,Carlsbad Unified,799,5.1,99.2,26.6
13,Murdock-Portal Elementary,K-5,Cupertino Union,573,1.4,99.1,26
14,Herbert Hoover Elementary,K-5,Palo Alto Unified,406,6.9,99.1,20.3
15,Wonderland Avenue Elementary,K-5,Los Angeles Unified,521,7.7,99.1,26
16,J. M. Amador Elementary,K-5,Dublin Unified,741,1.1,99.1,22.4
17,John Gomes Elementary,K-6,Fremont Unified,820,4.3,99,24.8
18,Wagner Ranch Elementary,K-5,Orinda Union Elementary,403,1.0,99,22.3
19,Del Mar Heights Elementary,K-6,Del Mar Union Elementary,459,3.9,99,21.8
20,Mission San Jose Elementary,K-6,Fremont Unified,622,2.6,99,28.2
21,Covington Elementary,K-6,Los Altos Elementary,559,2.3,99,22.3
22,Argonaut Elementary,K-5,Saratoga Union Elementary,391,0.8,99,19.5
23,Ethan B. Allen Elementary,K-6,Garden Grove Unified,821,31.1,99,28.3
24,Carver Elementary,K-5,San Marino Unified,586,2.6,99,21.7
25,Accelerated Achievement Academy,4-8,Hollister,139,54.0,98.9,23.1
26,Del Rey Elementary,K-5,Orinda Union Elementary,407,0.0,98.9,23.9
27,Wildwood Elementary,K-5,Piedmont City Unified,312,0.0,98.8,22.2
28,Roscomare Road Elementary,K-5,Los Angeles Unified,453,4.6,98.8,22.6
29,Millikin Elementary,K-5,Santa Clara Unified,522,3.6,98.8,29
30,Williams Elementary,K-5,San Jose Unified,693,3.9,98.7,28.8
31,Stevenson Ranch Elementary,K-6,Newhall,793,7.3,98.7,24.7
32,Golden Elementary,K-6,Placentia-Yorba Linda Unified,829,10.6,98.7,29.6
33,Springer Elementary,K-6,Los Altos Elementary,522,2.5,98.7,21.7
34,Solana Pacific Elementary,4-6,Solana Beach Elementary,576,4.2,98.7,25
35,Beach Elementary,K-5,Piedmont City Unified,335,1.8,98.7,20.9
36,Canyon Charter Elementary,K-5,Los Angeles Unified,400,4.3,98.7,23.5
37,Blue Hills Elementary,K-5,Cupertino Union,383,2.9,98.7,21.2
38,William Regnart Elementary,K-5,Cupertino Union,531,2.5,98.7,24.1
39,Tom Matsumoto Elementary,K-6,Evergreen Elementary,762,5.1,98.6,25.4
40,Silver Spur Elementary,K-5,Palos Verdes Peninsula Unified,547,1.8,98.6,26
41,Naples Elementary,K-5,Long Beach Unified,372,11.6,98.6,28.6
42,Forest Hill Elementary,K-5,Campbell Union,631,9.7,98.6,26.2
43,Palm Crest Elementary,K-6,La Canada Unified,614,2.0,98.5,21.9
44,Turtle Rock Elementary,K-6,Irvine Unified,883,12.6,98.5,29.4
45,Tustin Memorial Elementary,K-5,Tustin Unified,618,7.0,98.5,29.4
46,L. P. Collins Elementary,K-5,Cupertino Union,719,1.8,98.5,23.9
47,Warm Springs Elementary,3-6,Fremont Unified,886,4.7,98.5,27.6
48,Dingeman Elementary,K-5,San Diego Unified,858,7.5,98.5,27.6
49,Jerabek Elementary,K-5,San Diego Unified,647,6.8,98.5,24.8
50,Frank L. Huff Elementary,K-5,Mountain View Whisman,572,7.0,98.5,26
51,Golden View Elementary,K-5,San Ramon Valley Unified,690,4.9,98.5,23.7
52,La Canada Elementary,K-6,La Canada Unified,672,2.1,98.5,24
53,Carmel Del Mar Elementary,K-6,Del Mar Union Elementary,537,5.4,98.4,22.3
54,Franklin Elementary,K-5,Santa Monica-Malibu Unified,831,5.8,98.4,24.4
55,Alamo Elementary,K-5,San Ramon Valley Unified,378,2.1,98.4,25.2
56,Forest Park Elementary,K-6,Fremont Unified,1022,4.8,98.4,28.3
57,Coyote Creek Elementary,K-5,San Ramon Valley Unified,1052,4.2,98.4,25
58,North Hillsborough,K-5,Hillsborough City Elementary,323,0.9,98.4,17.9
59,Happy Valley Elementary,K-5,Lafayette Elementary,526,0.6,98.4,23.9
60,Old Mill Elementary,K-5,Mill Valley Elementary,328,0.9,98.3,23.4
61,Camarillo Academy of Progressive Education,K-12,Oxnard Union High,569,6.2,98.2,23.7
62,Elevate Elementary,K-5,San Diego Unified,214,46.7,98.2,21.4
63,Robert C. Fisler Elementary,K-8,Fullerton Elementary,914,5.4,98.2,29.4
64,Gonsalves (Joe A.) Elementary,K-6,ABC Unified,643,19.0,98.2,25.7
65,Deer Canyon Elementary,K-5,Poway Unified,504,8.5,98.2,24
66,Hidden Hills Elementary,K-5,San Ramon Valley Unified,1000,3.1,98.2,26.3
67,Franklin Elementary,K-5,Burlingame Elementary,609,3.1,98.1,25.3
68,Sleepy Hollow Elementary,K-5,Orinda Union Elementary,389,0.8,98.1,24.3
69,Leal (Frank C.) Elementary,K-6,ABC Unified,739,17.2,98.1,26.3
70,James S. Fugman Elementary,K-6,Clovis Unified,810,10.1,98.1,28.9
71,Huntington Seacliff Elementary,K-5,Huntington Beach City Elementary,728,4.4,98.1,28
72,R. I. Meyerholz Elementary,K-5,Cupertino Union,776,3.6,98.1,24.2
73,Oxford Preparatory Academy - South Orange County,K-8,Capistrano Unified,878,10.7,98.1,29.2
74,Lafayette Elementary,K-5,Lafayette Elementary,546,4.4,98.1,24.8
75,Solana Ranch Elementary,K-6,Solana Beach Elementary,529,4.0,98.1,22
76,Overland Avenue Elementary,K-5,Los Angeles Unified,500,6.8,98.1,22.7
77,Graystone Elementary,K-5,San Jose Unified,651,7.2,98.1,25
78,Glorietta Elementary,K-5,Orinda Union Elementary,443,0.7,98.1,24.6
79,Richard Henry Lee Elementary,K-5,Los Alamitos Unified,658,14.4,98.1,26.3
80,Francis Hopkinson Elementary,K-5,Los Alamitos Unified,702,6.7,98.1,26
81,Abraham Lincoln Elementary,K-5,Cupertino Union,663,1.2,98,25.5
82,Del Mar Hills Elementary,K-6,Del Mar Union Elementary,322,7.5,98,21.4
83,Ross Elementary,K-8,Ross Elementary,384,0.0,98,14.7
84,Torrey Pines Elementary,K-5,San Diego Unified,503,12.1,98,22.8
85,Gardner Bullis Elementary,K-6,Los Altos Elementary,352,0.9,98,25.1
86,Tulita Elementary,K-5,Redondo Beach Unified,522,13.6,98,24.8
87,Montecito Union,K-6,Montecito Union Elementary,438,8.0,98,16.2
88,Chinese Immersion School at DeAvila,K-5,San Francisco Unified,405,14.8,98,23.8
