Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
1,William & Marian Ghidotti High,9-12,Nevada Joint Union High,163,19.6,98.7,32.6
2,Whitney (Gretchen) High,7-12,ABC Unified,1011,21.3,98.7,25.2
3,Oxford Academy,7-12,Anaheim Union High,1208,34.9,98.6,30.2
4,University High,9-12,Fresno Unified,482,11.4,98.6,25.3
5,Dr. Tj Owens Gilroy Early College Academy,9-12,Gilroy Unified,255,33.3,98.5,25.5
6,California Academy of Mathematics and Science,9-12,Long Beach Unified,681,42.6,98.4,29.6
7,Western Center Academy,6-12,Hemet Unified,541,28.3,98.3,27
8,The High School at Moorpark College,11-12,Moorpark Unified,82,11.0,98.3,20.5
9,Technology High,9-12,Cotati-Rohnert Park Unified,342,10.8,98.3,28.5
10,Academy of the Canyons,9-12,William S. Hart Union High,395,7.9,98.2,32.9
11,Downtown Business High,9-12,Los Angeles Unified,1031,80.8,98.2,23.4
12,Dougherty Valley High,9-12,San Ramon Valley Unified,2759,5.3,98,23.9
13,River Valley Charter,7-12,Lakeside Union Elementary,272,5.9,97.9,20.9
14,Lowell High,9-12,San Francisco Unified,2685,39.7,97.9,20.6
15,Monta Vista High,9-12,Fremont Union High,2326,2.5,97.8,25.8
16,Mission San Jose High,9-12,Fremont Unified,2069,4.1,97.8,24.6
17,Harbor Teacher Preparation Academy,9-12,Los Angeles Unified,451,70.3,97.8,26.5
18,Redwood Academy of Ukiah,7-12,Ukiah Unified,143,56.6,97.8,20.4
19,Mt. Everest Academy,K-12,San Diego Unified,263,24.3,97.7,18.7
20,Pacific Collegiate Charter,7-12,Santa Cruz County Office Of Education,518,7.1,97.7,18.5
21,Middle College High,9-12,Lodi Unified,246,42.7,97.7,30.7
22,Lynbrook High,9-12,Fremont Union High,1788,4.9,97.7,24.1
23,Grossmont Middle College High,11-12,Grossmont Union High,70,50.0,97.6,17.5
24,SOAR High (Students On Academic Rise),9-12,Antelope Valley Union High,403,59.3,97.6,31
25,Hawthorne Math and Science Academy,9-12,Hawthorne,567,78.8,97.6,25.7
26,West Campus,9-12,Sacramento City Unified,852,62.8,97.6,26.6
27,Riverside STEM Academy,5-12,Riverside Unified,577,26.7,97.5,26.2
28,Stockton Unified Early College Academy,9-12,Stockton Unified,375,61.6,97.4,37.5
29,Piedmont High,9-12,Piedmont City Unified,800,1.1,97.3,18.1
30,University Preparatory,6-12,Shasta Union High,967,14.6,97.1,22.4
31,Monte Vista High,9-12,San Ramon Valley Unified,2348,2.3,97,22.7
32,Renaissance Arts Academy,6-12,Los Angeles Unified,357,64.7,97,32.4
33,University Preparatory,7-12,Victor Valley Union High,1115,68.2,97,28.5
34,Cupertino High,9-12,Fremont Union High,2245,8.5,97,25.2
35,Stockton Collegiate International Secondary,6-12,Stockton Unified,479,54.3,97,21.7
36,Ocsa,7-12,Santa Ana Unified,2096,11.1,96.9,29.5
37,Anderson W. Clark Magnet High,9-12,Glendale Unified,1103,53.3,96.9,29.8
38,Granite Bay High,9-12,Roseville Joint Union High,2043,8.0,96.8,24.3
39,Mills High,9-12,San Mateo Union High,1198,14.3,96.8,21
40,Del Norte High,9-12,Poway Unified,2032,10.7,96.7,28.2
41,Preuss School UCSD,6-12,San Diego Unified,840,97.1,96.7,21
42,Alameda Science and Technology Institute,9-12,Alameda Unified,175,30.3,96.7,29.1
43,Amador Valley High,9-12,Pleasanton Unified,2628,6.0,96.6,24.7
44,Campolindo High,9-12,Acalanes Union High,1300,2.1,96.6,20.9
45,Acalanes High,9-12,Acalanes Union High,1423,3.2,96.6,20.6
46,Northwood High,9-12,Irvine Unified,2240,7.8,96.6,27.6
47,Cerritos High,9-12,ABC Unified,2132,29.3,96.6,24.5
48,Middle College High,9-12,West Contra Costa Unified,278,46.4,96.5,27.8
49,Middle College High,9-12,San Bernardino City Unified,275,82.2,96.5,27.5
50,Clovis North High,9-12,Clovis Unified,2459,21.3,96.5,23.6
51,Miramonte High,9-12,Acalanes Union High,1232,1.1,96.4,20.5
52,Foothill High,9-12,Pleasanton Unified,2085,5.0,96.2,23.6
53,Troy High,9-12,Fullerton Joint Union High,2755,21.3,96.2,27.2
54,Canyon Crest Academy,9-12,San Dieguito Union High,2255,2.9,95.9,25.6
55,La Canada High,7-12,La Canada Unified,2075,1.5,95.9,24.7
56,San Marino High,9-12,San Marino Unified,1200,3.7,95.9,21
57,Saratoga High,9-12,Los Gatos-Saratoga Joint Union High,1324,0.7,95.9,18.6
58,Corona del Mar High,7-12,Newport-Mesa Unified,2580,6.5,95.9,28
59,West Ranch High,9-12,William S. Hart Union High,2455,8.4,95.9,27.2
60,Fall River Junior-Senior High,7-12,Fall River Joint Unified,241,49.0,95.7,16
61,Folsom High,9-12,Folsom-Cordova Unified,2300,13.7,95.7,25.5
62,Palos Verdes Peninsula High,9-12,Palos Verdes Peninsula Unified,2519,3.8,95.7,25.9
63,California High,9-12,San Ramon Valley Unified,2667,4.9,95.6,24
64,Oak Park High,9-12,Oak Park Unified,1542,5.1,95.6,23.7
65,Academy of the Redwoods,9-12,Fortuna Union High,178,44.9,95.6,44.5
66,Irvington High,9-12,Fremont Unified,2253,16.0,95.4,24.7
67,High Technical La,9-12,Los Angeles Unified,390,44.6,95.3,24.3
68,Burlingame High,9-12,San Mateo Union High,1339,6.1,95.3,19.9
69,John F. Kennedy High,10-12,Corona-Norco Unified,641,36.0,95.3,29.1
