county,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06001""","""Alameda""",1046.00,1584983.00,558907.00,473018.82,46,55,67,29,37,45,17,19,23,7.30,43.54,1.73,2,2,17714,15565,17019,12,11,12,13686,12133,12392,9861,8741,8703,3398,2986,3264,427,406,425,174,165,173,2.7,5.2,4.19,1.18,39807,53,49839,92,11,77,2729,2000,2101,1434,53,47
"""06003""","""Alpine""",2.00,1131.00,358.00,472525.15,74,90,74,42,52,41,33,38,33,10.70,0.01,2.29,2,2,25525,22742,25571,1,1,1,17369,16114,17569,12450,11733,12642,4895,4361,4904,24,20,23,20,17,20,0.5,0.2,0.34,0.00,569,61,639,79,938,1,5914,1837,2095,891,79,21
"""06005""","""Amador""",28.00,36995.00,13925.00,380529.00,60,73,63,33,41,33,28,32,31,9.34,0.99,1.99,2,2,22495,20025,25565,0,0,0,15151,13858,16575,10833,10012,11668,4314,3840,4902,5,5,4,3,3,3,0.9,0.4,0.87,0.04,2266,82,2134,83,215,8,4710,1495,1540,879,76,24
"""06007""","""Butte""",195.00,222564.00,85318.00,1047336.14,64,75,53,34,42,27,31,33,27,8.56,14.25,1.71,2,2,20901,18674,22255,2,2,2,13372,11595,14342,9328,7974,10041,4008,3582,4268,37,38,33,33,34,30,1.7,2.9,0.51,0.08,8103,63,8275,85,70,9,4555,1225,1239,865,59,41
"""06009""","""Calaveras""",30.00,44767.00,18060.00,652807.32,61,74,62,34,42,33,30,34,31,9.59,0.82,2.08,2,2,23421,20864,25771,0,0,0,15804,14487,16916,11309,10484,11971,4491,4001,4942,3,3,3,2,2,2,0.7,0.3,0.49,0.03,1955,85,1701,83,279,7,4425,1491,1596,987,79,21
"""06011""","""Colusa""",20.00,21396.00,6966.00,736465.54,59,71,57,29,36,28,31,35,29,10.24,10.67,2.06,2,2,24741,22287,23980,0,0,0,15954,14600,15729,11205,10321,11128,4744,4274,4598,4,5,3,3,4,2,1.3,0.3,0.69,0.01,1949,77,2009,83,167,3,4800,1247,1319,817,62,38
"""06013""","""Contra Costa""",636.00,1096068.00,384646.00,462554.96,50,60,74,32,40,48,18,21,25,8.68,26.78,1.91,2,2,21130,18701,20399,5,4,4,15030,13375,13669,10884,9704,9669,4053,3588,3912,92,84,89,37,34,36,3.1,4.2,3.57,0.83,21493,67,22934,90,17,60,1961,2169,2254,1489,65,35
"""06015""","""Del Norte""",19.00,27788.00,9420.00,644025.91,65,76,52,33,41,25,32,35,27,7.69,6.51,1.66,2,2,20106,17930,22825,3,3,2,13021,11388,14747,9051,7829,10275,3856,3439,4377,115,119,96,70,72,58,1.4,2.5,1.40,0.01,2326,64,2169,80,113,4,5518,1122,1229,794,61,39
"""06017""","""El Dorado""",124.00,182093.00,67086.00,1093055.44,65,77,71,38,48,43,27,30,29,9.82,7.55,2.02,2,2,24320,21697,24222,1,1,1,16196,14186,15519,11522,10018,10866,4666,4161,4645,9,7,8,5,4,4,0.7,2.5,0.39,0.06,4976,81,4619,84,98,9,4606,1912,2019,1074,74,26
"""06019""","""Fresno""",589.00,956749.00,296305.00,3813642.91,64,75,53,33,41,28,31,34,26,8.89,21.78,1.83,2,2,21840,19523,21208,2,2,2,14216,12331,14116,9975,8530,10001,4188,3745,4067,53,56,48,68,72,62,2.2,1.7,0.94,0.08,16878,68,19691,90,46,8,5533,1236,1202,992,53,47
