place,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""0600135""","""Acalanes Ridge""",0.91,1260.63,454.57,294.81,58,70,86,41,51,61,18,20,25,9.05,17.00,1.84,2,2,20373,18182,19701,7,7,7,14556,12895,13225,10500,9267,9305,3908,3488,3778,147,141,142,59,56,57,5.0,8.6,2.04,1.54,28289,84,44229,90,12,135,1022,2755,3042,2053,74,26
"""0600156""","""Acampo""",0.08,127.55,44.51,598.35,54,64,53,22,28,22,32,36,31,11.77,0.88,2.20,2,2,26097,23579,25055,0,0,0,16949,15455,16480,11945,10934,11675,5004,4521,4805,0,0,0,0,0,0,2.0,0.3,1.57,0.07,5953,96,5918,88,82,14,2536,985,,985,70,30
"""0600212""","""Acton""",1.94,4673.42,1578.34,25128.28,83,99,90,52,65,59,30,33,31,11.12,0.77,2.30,2,2,26981,24079,25219,0,0,0,18322,16135,16760,13144,11518,11924,5176,4618,4836,2,0,0,3,0,0,1.5,0.7,0.89,0.06,6273,87,7011,88,63,35,1671,2648,2714,838,89,11
"""0600296""","""Adelanto""",8.42,29471.00,7400.73,35834.64,52,62,52,25,31,25,27,31,27,8.93,11.39,1.93,2,2,23742,21460,22455,2,2,2,15102,13588,14385,10500,9418,10032,4553,4115,4306,49,55,47,29,33,28,4.2,1.6,1.49,0.21,7191,79,4889,86,21,33,1829,1127,874,1114,51,49
"""0600310""","""Adin""",0.01,4.52,1.83,2196.64,71,86,55,30,37,21,42,48,34,9.46,0.01,2.21,2,2,22633,20316,25959,2,2,2,15754,14618,18270,11390,10698,13268,4342,3897,4978,22,23,24,3,3,3,0.1,0.9,0.42,0.00,235,92,262,75,453,3,5390,941,941,0,88,12
"""0600394""","""Agoura Hills""",13.42,20156.35,7111.90,4987.67,70,83,76,47,59,53,26,29,27,9.80,20.54,2.01,2,2,23868,21283,22293,1,1,1,16071,13850,14513,11466,9745,10214,4579,4081,4275,26,23,24,31,27,28,4.2,3.0,3.45,1.43,12969,69,20053,90,24,134,1365,2390,2492,1076,77,23
"""0600450""","""Agua Dulce""",1.69,3396.99,1121.90,14622.19,78,93,85,48,60,54,31,34,32,11.40,1.11,2.35,2,2,27522,24644,25774,0,0,0,18708,16478,17115,13429,11752,12172,5280,4726,4943,0,0,0,0,0,0,0.8,0.4,0.47,0.08,6763,97,7196,88,67,49,1586,2409,2422,405,91,9
"""0600464""","""Aguanga""",0.30,355.21,123.75,8700.09,59,71,59,29,37,30,30,34,29,9.69,0.14,2.07,2,2,26321,23326,24372,1,0,0,16331,14965,15659,11270,10490,10982,5047,4473,4674,13,1,3,9,1,2,3.3,0.4,0.15,0.01,2704,33,2864,84,304,9,3811,1351,1207,676,72,28
"""0600478""","""Ahwahnee""",0.90,1265.17,538.40,6416.62,73,87,62,36,45,30,37,41,32,9.94,1.07,2.16,2,2,26331,23790,26302,0,0,0,16777,14919,17177,11728,10355,12134,5049,4563,5044,0,0,0,0,0,0,1.1,0.0,0.22,0.08,1606,93,1217,83,172,24,3706,1356,530,844,73,27
"""0600535""","""Airport""",0.76,1356.58,361.94,369.99,47,56,44,20,26,19,27,30,25,7.91,8.47,1.76,2,2,19875,18013,19573,3,3,3,13477,12074,13338,9602,8541,9523,3811,3454,3753,64,79,62,73,91,71,7.1,2.2,3.91,0.98,19445,76,24404,92,10,90,868,855,873,849,34,66
"""0600562""","""Alameda""",58.00,76733.00,30708.00,6683.07,45,53,65,29,36,43,16,18,22,6.68,54.94,1.68,1,2,16675,14475,15977,11,10,11,13172,11642,11897,9583,8497,8438,3199,2777,3064,390,368,396,159,150,161,7.4,6.4,7.98,4.59,42768,43,56474,92,5,287,903,1940,2076,1486,47,53
"""0600618""","""Alamo""",6.66,13056.62,4446.17,6187.97,72,88,107,52,65,79,20,23,28,9.93,9.87,2.12,2,2,23823,21066,23067,1,1,1,16704,14976,15287,12111,10918,10847,4570,4041,4423,23,17,18,9,7,7,1.6,4.4,1.16,0.72,17072,94,18097,89,36,64,1941,3554,3216,1677,89,11
